compound_id,smiles,activity_label,activity_value_um
CID-2294766,C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)O,active,
CID-2301119,C1=CC=C(C=C1)C2=NOC(=O)C2=CC3=CC=C(O3)C4=CC=CC=C4[N+](=O)[O-],active,
CID-2310813,CN1C=NC2=C1C=CC(=C2)OC(=O)C3=CC=CC=C3,active,
CID-2320755,CCOC(=O)C1=C(SC(=C1C2=CC=CC=C2)C(C(F)(F)F)(C(F)(F)F)O)N,active,
CID-2323124,COC1=CC(=C(C=C1)C2=NNC(=C2C3=CC4=CC=CC=C4O3)C(F)(F)F)O,active,
CID-2333509,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=CC3=CC=C(C=C3)F)C(=O)O,active,
CID-2348921,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=C(N=C4N3C=CS4)Cl,active,
CID-2352096,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)COC(=O)C4=CN=CC=C4,active,
CID-2356903,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)Cl)C(=O)NC4=CC=C(C=C4)C(=O)O,active,
CID-2384236,C1=CC=C(C=C1)CCN(CCC2=CC=CC=C2)C(=O)CCl,active,
CID-2385601,CC1=C(C(=CC=C1)NC2=NN=C(S2)SCC(=O)NC3=C(C=C(C=N3)C(F)(F)F)Cl)C,active,
CID-2396278,C1=CC=C(C=C1)CN(CC2=CC=C(C=C2)C(=O)O)S(=O)(=O)C3=CC=C(C=C3)Cl,active,
CID-2406331,C1CN(CCN1C(=O)C2=CC(=CN=C2)Br)S(=O)(=O)C3=CC=CC=C3C(F)(F)F,active,
CID-2410199,COC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C3=CC(=O)NC4=CC=CC=C43,active,
CID-2412504,C1=CC(=C(C=C1Cl)Cl)CN2C=CSC2=NC(=O)CCl,active,
CID-2416356,C1=CC=C(C(=C1)CN2C=CSC2=NC(=O)CCl)Cl,active,
CID-2417657,CC1=CC(=C(C(=C1C)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43)C)C,active,
CID-2420336,C1CN(CCN1CC2=CC=CC=C2)C(=O)CNC(=O)C3=CC=C(C=C3)Br,active,
CID-2440506,COC1=CC=C(C=C1)C=C(C#N)C2=CNC3=CC=CC=C32,active,
CID-2443805,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43)C,active,
CID-2449860,C1CN(CCN1C2=CC=CC(=C2)C(F)(F)F)C(=O)C3=CC(=O)NC4=CC=CC=C43,active,
CID-2452051,C1=CC(=CC=C1CSC2=NN=C(S2)NC(=O)C3=CC4=C(C=C3)N=CS4)C#N,active,
CID-2454965,CC1=CC(=CC=C1)CN2CCN(CC2)C(=O)CCl,active,
CID-2458897,C1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SCC(=O)NC4=CC=C(C=C4)C(=O)O,active,
CID-2472898,CC(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)SC(F)F,active,
CID-2497380,C1=CC=C(C=C1)CN2C=C(C(=N2)C3=CN=CC=C3)C=O,active,
CID-2514618,CC1=CC(=C(C(=C1)Br)NC(=O)CON2C3=C(C=CC(=C3)S(=O)(=O)C)N=N2)Br,active,
CID-2515806,CC1=C(C=CC(=C1)NC(=O)CON2C3=C(C=CC(=C3)S(=O)(=O)C)N=N2)Br,active,
CID-2526861,CC1=CC(=C(N1C2=CC(=CC=C2)[N+](=O)[O-])C)C(=O)CCl,active,
CID-2530053,C1=CC(=CN=C1)NC(=O)CC2=CC(=C(C=C2)Cl)Cl,active,
CID-2558401,COC1=CC=CC=C1OCCNC(=O)C2=CC(=O)NC3=CC=CC=C32,active,
CID-2561190,C1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)NCC3=CC=C(C=C3)F)C(F)(F)F,active,
CID-2734449,C1=CC=C2C(=C1)C(C3=CC=CC=C32)COC(=O)NC(CC4=CC=C(C=C4)Br)C(=O)O,active,
CID-2739954,CC1=C(C2=C(O1)C(=C(C(=C2F)F)F)F)S(=O)(=O)NC3=CC=CC(=C3)C(F)(F)F,active,
CID-2808586,CC(=O)N(C1=CC=C(C=C1)C(F)(F)F)S(=O)(=O)C2=CC=C(C=C2)N3C(=O)CCC3=O,active,
CID-2813012,COC1=CC=C(C=C1)NC(=O)CC2C(=O)NCCN2C(=O)NC3=CC=C(C=C3)C(F)(F)F,active,
CID-2814640,CC(C)(C)C1=CC=C(C=C1)NC(=O)CSC2=NNC(=O)N2C3=CN=CC=C3,active,
CID-2814665,COC(=O)C1=CC=CC=C1NC(=O)C2=CC3=C(C=C2)OCCCO3,active,
CID-2815268,CC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=NN2C)C3=CC=CC=C3)Cl,active,
CID-2815694,CC1=C(C=C(C=C1)NC(=O)NC2=CN=CC=C2)Cl,active,
CID-2815848,C1COC2=C(O1)C=CC(=C2)NC(=O)C3=C(OC=N3)C4=CC=CC=C4,active,
CID-2829992,CC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C2=CC=CC=C2C)C,active,
CID-2845421,CCC1CCC(CC1)N2CCN(CC2)C3=CC=C(C=C3)[N+](=O)[O-],active,
CID-2849510,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C(=CC=C3)[N+](=O)[O-])C(=O)O,active,
CID-2853037,C1C(N(N=C1C2=CC=CC=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=CC=C4,active,
